بلدية,Municipalite,Code Geo,2017 - Ressources budgétaires totales du conseil municipal X  Estimations préliminaires,2017 - Ressources budgétaires totales du conseil municipal X Prévisions actuelles ,2017 - Ressources budgétaires totales du conseil municipal X ressources réalisées,2017 - Ressources budgétaires totales du conseil municipal X % de réalisation,2017 - Dépenses totales du consel municipal x Estimations péliminaires,2017 - Dépenses totales du consel municipal x Estimations actuelles,2017 - Dépenses totales du conseil municipal X dépenses réalisées,2017 - Dépenses totales du conseil municipal X % de réalisation,2017 - Recettes - Dépenses,2017 - % des Dépenses par rapport a la ressource
بلدية بير علي بن خليفة,Municipalite de Bir Ali Ben Khlifa,3423,1164000,1414971,780644,55.17%,1015000,1414971,432789,30.59%,347855,0.5543999569586137
بلدية الصخيرة,Municipalite de Skhira,3424,1810000,3046609,2320427,76.16%,1810000,3046609,433678,14.23%,1886749,0.18689577392436824
 بلدية المحرس,Municipalite de Mahres,3425,1954000,2416301,1485958,61.5%,1806149,2416301,695031,28.76%,790927,0.4677326007868325
بلدية قرقنة,Municipalite de Kerkenna,3426,2060000,3792305,2072950,54.66%,2060000,3792305,286473,7.55%,1786477,0.13819580790660652
بلدية القيروان,Municipalite de Kairouan,4111,22274827,25203948,12673183,50.28%,22274827,25203948,6253948,24.81%,6419235,0.4934788679371236
بلدية الشبيكة,Municipalite Chbika,4112,1065342,1307119,969493,74.17%,1034327,1307119,287197,21.97%,682296,0.2962342172661381
بلدية السبيخة,Municipalite de Sbikha,4113,1375085,2067167,1278503,61.85%,1375085,2067167,549069,26.56%,729434,0.4294624259778819
بلدية الوسلاتية,Municipalite Oueslatia,4114,1103000,1616984,783086,48.43,1103000,1616984,396116,24.5%,386970,0.5058397161997533
بلدية عين جلولة,Municipalite Ain Jalloula,4115,701062,701062,233104,33.25%,701062,701062,38498,5.49%,194606,0.16515375111538197
بلدية حفوز,Municipalite Haffouz,4116,1045670,1454214,876015,60.24%,1045670,1454214,311778,21.44%,564237,0.35590486464272875
بلدية العلا,Municipalite El Ala,4117,1483417,1513306,769602,50.86%,1483417,1513306,400869,26.49%,368733,0.5208783241207793
بلدية حاجب العيون,Municipalite Hajeb El Ayoun,4118,1398441,2061935,1282675,62.21%,1395441,2058935,776286,37.7%,506389,0.605208645993724
بلدية نصر الله,Municipalite Nasrallah,4119,751714,967693,818600,84.59%,751464,967693,171692,17.74%,646908,0.20973857806010263
بلدية منزل مهيري,Municipalite Menzel Mhiri,4120,800918,814161,278451,34.2%,634918,814161,161145,19.79%,117306,0.578719415624293
بلدية الشراردة,Municipalite Chrarda,4121,749931,784225,370369,47.23%,746431,784225,216169,27.56%,154200,0.5836584595363002
بلدية بوحجلة,Municipalite Bouhajla,4122,1667707,1816805,837769,46.11%,1667707,1816805,438567,24.14%,399202,0.5234939464219851
بلدية القصرين,Municipalite de Kasserine,4211,10293000,10293000,2772643,26.94%,10293000,10293000,1621190,15.75%,1151453,0.5847092467367778
بلدية سبيطلة,Municipalite de Sbitla,4212,3123650,3123650,1496623,47.91%,3123650,3123650,615114,19.69%,881509,0.4110013009288244
بلدية سبيبة,Municipalite de Sbiba,4213,1762098,1803931,628121,34.82%,1662098,1803931,364712,20.22%,263409,0.5806397175066588
بلدية جدليان,Municipalite de Jedliene,4214,1010000,1187563,435146,36.64%,1010000,1187563,215689,18.16%,219457,0.49567041866408057
بلدية تالة,Municipalite de Thala,4215,2379161,2543591,1521744,59.83%,2344161,2543591,304339,11.96%,1217405,0.19999356002060795
بلدية حيدرة,Municipalite de Hidra,4216,1012250,1014587,649782,64.04%,877250,1014587,158409,15.61%,491373,0.24378791656278567
بلدية فوسانة,Municipalite de Foussana,4217,1677,1769625,989456,55.91%,1657,1769625,361281,20.42%,628175,0.365130940638088
بلدية فريانة,Municipalite de Feriana,4218,4147513,4326266,1282551,29.65%,3997513,4326266,505826,11.69%,776725,0.3943905544496866
بلدية تلابت,Municipalite de Talebt,4219,2250310,2250310,770138,34.22%,2250310,2250310,356929,15.86%,413209,0.4634610939857532
بلدية ماجل بالعباس,Municipalite de Majel Belabbes,4220,2726767,2924377,818531,27.99%,2726767,2924377,279933,9.57%,538598,0.34199437773279207
بلدية سيدي بوزيد,Municipalite de Sidi Bouzid,4311,12402000,13357687,9221935,69.04%,12402000,13357687,3001357,22.47%,6220578,0.3254584856648849
بلدية جلمة,Municipalite de Jelma,4312,2050000,2555486,1651967,64.64%,2050000,2555486,567989,22.23%,1083978,0.3438258754563499
بلدية السبالة,Municipalite de Cebalet,4313,730000,939803,576098,61.3%,729600,939803,212485,22.61%,363613,0.36883481629861586
بلدية بير الحفي,Municipalite de Bir Hfay,4314,1700000,1538484,880219,57.21%,1700000,1538484,421786,27.42%,458433,0.479183021498059
بلدية سيدي علي بن عون,Municipalite de Sidi Ali Ben Aoun,4315,915830,1266319,957789,75.64%,915830,1266319,281134,22.2%,676655,0.2935239389886499
بلدية منزل بوزيان,Municipalite Menzel Bouzaiene,4316,890000,1201523,819856,68.23%,890000,1201523,375344,31.24%,444512,0.4578169824944868
بلدية المكناسي,Municipalite de Meknassi,4317,1630000,1999931,1525297,76.27%,1611900,1999931,430143,21.51%,1095154,0.28200606177026505
بلدية المزونة,Municipalite Mezzouna,4318,1300000,1329820,926893,69.7%,1300000,1329820,111932,8.42%,814961,0.12076043297338528
بلدية الرقاب,Municipalite de Regueb,4319,2400000,2505827,1704690,68.03%,2400000,2505827,515400,20.57%,1189290,0.302342361367756
بلدية أولاد حفوز,Municipalite Aouled Haffouz,4320,565000,570000,173001,30.35%,565000,570000,126867,22.26%,46134,0.7333310212079699
بلدية قابس,Municipalite de Gabes,5111,19161255,19440291,11360068,58.44%,18735380,19014416,2781304,14.63%,8578764,0.24483163305008385
بلدية شنني نحال,Municipalite de Chenini Nahal,5112,1835000,3058939,2128546,69.58%,1835000,3058939,990056,32.37%,1138490,0.46513253648265057
بلدية غنوش,Municipalite de Ghanouch,5113,2200000,3499831,2344795,0.67,2200000,3499831,869815,24.85%,1474980,0.37095566989864787
بلدية المطوية,Municipalite de Metouia,5114,1013000,1296483,983362,75.85%,1013000,1296483,272983,21.06%,710379,0.27760173771205315
بلدية وذرف,Municipalite de Oudhref,5115,995000,1216343,792652,65.17%,989672,1216343,416050,34.2%,376602,0.5248835554568714
بلدية الحامة,Municipalite de Hamma,5116,3064160,3930859,2602232,66.2%,2715500,3589199,607531,16.93%,1994701,0.23346534820876846
بلدية مطماطة القديمة,Municipalite de Matmata,5117,474000,677456,447847,66.11%,474000,677456,197265,29.12%,250582,0.440474090481794
بلدية مطماطة الجديدة,Municiplaite Nouvelle Matmata,5118,701000,1264154,975301,77.15%,701000,1264154,451448,35.71%,523853,0.4628806901664204
بلدية مارث,Municipalite de Mareth,5119,1763634,2289783,1217107,53.15% ,1763634,2289783,493080,21.53%,724027,0.40512461106541986
بلدية الزرات,Municipalite de Zarat ,5120,606000,772507,500930,64.84%,606000,772507,192082,24.86%,308848,0.38345078154632384
بلدية مدنين,Municipalite de Medenin,5211,11734084,11767633,5652791,48.04%,11084084,11117633,1318209,11.86%,4334582,0.2331961326714538
بلدية بني خداش,Municipalite de beni Khdech,5212,848000,1250855,769369,61.51%,848000,1250855,189402,15.14%,579967,0.2461783617483938
بلدية بن قردان,Municipalite de Ben Guerden,5213,6438800,6579063,2000557,30.41%,6438800,6579063,1604207,24.38%,396350,0.8018801763708807
بلدية جرجيس,Municipalite de Zarzis,5214,8669000,9281614,5313041,57.24%,8649000,9281614,2611884,28.14%,2701157,0.4915986908439065
بلدية جربة حومة السوق,Municipalite Jerba Houmet Souk,5215,9297297,9615847,4649200,48.35%,9297297,9615847,2736111,28.45%,1913089,0.5885122171556397
بلدية جربة ميدون,Municipalite Jerba Midoun,5216,7866661,9872414,3637786,36.85%,7866661,9872414,1631425,16.53%,2006361,0.4484664573452094
بلدية جربة أجيم,Municipalite Jerba Ajim,5217,1632000,2236086,1688830,75.53%,1632000,2236086,1009980,45.17%,678850,0.5980353262317699
بلدية تطاوين,Municipalite de Tatouine,5311,6142005,9273066,6452821,69.59%,6142005,9273066,2199723,23.72%,4253098,0.340893231038022
بلدية البئر الأحمر,Municipalite de Bir Lahmer,5312,800000,1026978,577159,56.2%,800000,1026978,213700,20.81%,363459,0.37026192089181664
 بلدية غمراسن,Municipalite de Ghomrassen,5313,1942056,2059728,1182369,57.4%,1942056,2059728,273001,13.25%,909368,0.23089323214664795
بلدية ذهيبة,Municipalite de Dhehiba,5314,510000,742085,419580,56.54%,510000,742085,239711,32.3%,179869,0.5713117879784546
بلدية رمادة,Municipalite de Remada,5315,762625,981088,698446,71.19%,762625,981088,163057,16.62%,535389,0.23345684562586083
بلدية قفصة,Municiplaite de Gafsa,6111,15962885,15962885,6082981,38.11%,15962885,15962885,2741317,17.17%,3341664,0.45065355292084586
بلدية القصر,Municipalite de Ksar,6112,6911500,7193850,1943784,27.02%,6911500,7193850,1458264,20.27%,485520,0.7502191601535974
بلدية أم العرايس,Municipalite Om Laaraies,6113,7545000,7545025,2563077,33.97%,7545000,7545025,2445908,32.42%,117169,0.9542858056937034
بلدية الرديف,Municiplaite de Redayef,6114,3803194,4443382,1972360,44.39%,3803194,4443382,1533648,34.52%,438712,0.7775700176438378
بلدية المتلوي,Municipalite de Metlaoui,6115,5615250,5888653,1725939,29.31%,5615250,5888653,862124,14.64%,863815,0.4995101217366315
بلدية المظيلة,Municipalite de Mdhila,6116,2666000,3088729,1296894,41.99%,2666000,3088729,595047,19.27%,701847,0.45882469962849703
بلدية القطار,Municipalite de Guetar,6117,3321521,3944729,1793579,45.47%,3298071,3944729,1018366,25.82%,775213,0.5677843016672252
بلدية السند,Municipalite de Snad,6118,1450000,2054359,1057154,51.46%,1450000,2054359,490650,23.88%,566504,0.46412348626595556
بلدية توزر,Municipalite de Tozeur,6211,6390000,6487161,3165682,48.8%,6388000,6487161,1753104,27.02%,1412578,0.5537839871471614
بلدية دقاش,Municipalite de Dguech,6212,1615000,1901894,931596,48.98%,1611000,1901894,297291,15.63%,634305,0.3191200906830858
بلدية حامة الجريد,Municipalte de Hammat Jerid,6213,1420000,1631317,776563,47.6%,1420000,1631317,463640,28.42%,312923,0.5970410642793952
بلدية نفطة,Municipalite de Nefta,6214,3170466,3556993,1819009,51.14%,3166566,3556993,1146037,32.22%,672972,0.6300337161608326
بلدية تمغزة,Municipalite de Tamaghza,6215,1776000,2041024,796779,39.04%,1776000,2041024,369524,18.1%,427255,0.4637722630742025
بلدية قبلي,Municipalite de Kebili,6311,6378496,6543797,3948150,60.33%,6377000,6542300,1232238,18.83%,2715912,0.3121051631776908
بلدية جمنة,Municipalite de Jemna,6312,1625115,1644123,974407,59.27%,1625115,1644123,210543,12.81%,763864,0.21607295514092162
بلدية دوز,Municiplaite de Douz,6313,2688790,3173713,1645649,51.85%,2686290,3173713,907267,28.59%,738382,0.5513125824522727
بلدية القلعة,Municipalite El Galaa,6314,1030500,2050590,1767077,86.17%,1030500,2050590,262972,12.82%,1504105,0.14881751049897657
بلدية سوق الأحد,Municipalite de Souk Lahad,6315,1988170,2288711,939088,41.03%,1988170,2288711,294728,12.88%,644360,0.3138449218816554
